SHBLON,SHBLAT,EHBLON,EHBLAT,count
121.22753821504983,31.088178459954342,121.1855710965866,31.106164880780035,11
121.21704643543403,31.05220561830296,121.23802999466565,31.025225987064424,11
121.50032448506091,31.304015509862644,121.47934092582929,31.33099514110118,11
121.41639024813443,31.187103774495647,121.41639024813443,31.232069826559876,11
121.1855710965866,31.20509019532134,121.17507931697078,31.20509019532134,11
121.55278338313997,31.22307661614703,121.52130804429254,31.20509019532134,11
121.25901355389728,31.016232776651577,121.23802999466565,31.061198828715806,11
121.40589846851861,31.232069826559876,121.44786558698186,31.304015509862644,11
121.25901355389728,31.079185249541496,121.27999711312889,31.09717167036719,11
121.31147245197633,31.070192039128653,121.25901355389728,31.088178459954342,11
121.56327516275577,31.348981561926873,121.56327516275577,31.366967982752563,11
121.43737380736606,30.917307462110273,121.48983270544511,30.917307462110273,11
121.21704643543403,31.061198828715806,121.22753821504983,31.016232776651577,11
121.43737380736606,31.304015509862644,121.46884914621349,31.339988351514027,11
121.31147245197633,31.232069826559876,121.384914909287,31.295022299449798,11
121.36393135005538,31.22307661614703,121.31147245197633,31.241063036972722,11
121.51081626467672,31.106164880780035,121.50032448506091,31.088178459954342,11
121.37442312967119,31.20509019532134,121.35343957043956,31.187103774495647,11
121.51081626467672,31.295022299449798,121.43737380736606,31.295022299449798,11
121.32196423159213,31.366967982752563,121.32196423159213,31.357974772339716,11
121.54229160352416,31.061198828715806,121.51081626467672,31.061198828715806,11
121.42688202775024,31.384954403578256,121.42688202775024,31.41193403481679,11
121.1855710965866,31.09717167036719,121.1855710965866,31.079185249541496,11
121.21704643543403,31.00723956623873,121.20655465581822,31.03421919747727,11
121.384914909287,31.20509019532134,121.32196423159213,31.22307661614703,11
121.50032448506091,31.33099514110118,121.44786558698186,31.322001930688334,11
121.51081626467672,31.106164880780035,121.48983270544511,31.12415130160573,11
121.51081626467672,31.28602908903695,121.45835736659767,31.277035878624105,11
121.36393135005538,31.03421919747727,121.37442312967119,31.03421919747727,11
121.22753821504983,31.115158091192882,121.24852177428146,31.088178459954342,11
121.25901355389728,31.079185249541496,121.2904888927447,31.025225987064424,11
121.5842587219874,31.09717167036719,121.5842587219874,31.070192039128653,11
121.32196423159213,31.070192039128653,121.34294779082376,31.079185249541496,11
121.2904888927447,30.989253145413038,121.25901355389728,31.00723956623873,11
121.44786558698186,31.25005624738557,121.39540668890281,31.196096984908493,11
121.45835736659767,31.25005624738557,121.43737380736606,31.304015509862644,11
121.54229160352416,31.20509019532134,121.51081626467672,31.16012414325711,11
121.60524228121902,31.295022299449798,121.65770117929807,31.28602908903695,11
