origin_port,grid_id,grid_center_lon,grid_center_lat,energy_type,emission_standard,type,trip_count,vehicle_count_x
外4,G5_2705_735,121.51960005926826,31.343960575473936,其他,未知,未知,10,9
外1,G5_2701_735,121.33993700244436,31.343960575473936,柴油,国六,集卡,10,10
外5,G5_2703_728,121.42976853085631,31.075052655406168,柴油,国五,普通货车,10,9
外2,G5_2699_727,121.25010547403241,31.036574885517357,柴油,国五,集卡,10,10
外4,G5_2701_737,121.33993700244436,31.420650788451876,柴油,国五,集卡,10,8
外4,G5_2700_729,121.2950212382384,31.11351485908563,柴油,国五,集卡,10,10
外1,G5_2705_736,121.51960005926826,31.382313508724522,柴油,国五,集卡,10,10
外4,G5_2711_731,121.78909464450413,31.190392523736996,柴油,国四,集卡,10,3
外4,G5_2713_723,121.87892617291608,30.882508365567617,柴油,国四,集卡,10,10
外4,G5_2697_737,121.16027394562046,31.420650788451876,柴油,国五,集卡,10,9
外2,G5_2708_732,121.65434735188619,31.228807962750448,柴油,国五,集卡,10,9
外5,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国六,集卡,10,10
外5,G5_2708_733,121.65434735188619,31.267207791637656,柴油,国六,集卡,10,9
外5,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国六,集卡,10,8
外4,G5_2701_738,121.33993700244436,31.45897240388786,柴油,国五,集卡,10,9
外1,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国五,集卡,10,10
外4,G5_2700_737,121.2950212382384,31.420650788451876,柴油,国五,集卡,10,7
外4,G5_2710_723,121.74417888029814,30.882508365567617,其他,未知,未知,10,8
外5,G5_2700_727,121.2950212382384,31.036574885517357,柴油,国五,集卡,9,6
外2,G5_2703_721,121.42976853085631,30.805381997457314,柴油,国五,集卡,9,9
外6,G5_2701_734,121.33993700244436,31.30559199950064,柴油,国五,普通货车,9,4
外1,G5_2709_732,121.69926311609218,31.228807962750448,柴油,国六,集卡,9,4
外1,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国四,集卡,9,5
外4,G5_2709_727,121.69926311609218,31.036574885517357,柴油,国四,集卡,9,4
外4,G5_2709_727,121.69926311609218,31.036574885517357,柴油,国六,集卡,9,9
